SEASON,WINNER,LOSER,SERIES
2022,Houston Astros,Philadelphia Phillies,4-2
2021,Atlanta Braves,Houston Astros,4-2
2020,Los Angeles Dodgers,Tampa Bay Rays,4-2
2019,Washington Nationals,Houston Astros,4-3
2018,Boston Red Sox,Los Angeles Dodgers,4-1
2017,Houston Astros,Los Angeles Dodgers,4-3
2016,Chicago Cubs,Cleveland Indians,4-3
2015,Kansas City Royals,New York Mets,4-1
2014,San Francisco Giants,Kansas City Royals,4-3
2013,Boston Red Sox,St. Louis Cardinals,4-2
2012,San Francisco Giants,Detroit Tigers,4-0
2011,St. Louis Cardinals,Texas Rangers,4-3
2010,San Francisco Giants,Texas Rangers,4-1
2009,New York Yankees,Philadelphia Phillies,4-2
2008,Philadelphia Phillies,Tampa Bay Rays,4-1
2007,Boston Red Sox,Colorado Rockies,4-0
2006,St. Louis Cardinals,Detroit Tigers,4-1
2005,Chicago White Sox,Houston Astros,4-0
2004,Boston Red Sox,St. Louis Cardinals,4-0
2003,Florida Marlins,New York Yankees,4-2
2002,Anaheim Angels,San Francisco Giants,4-3
2001,Arizona Diamondbacks,New York Yankees,4-3
2000,New York Yankees,New York Mets,4-1
1999,New York Yankees,Atlanta Braves,4-0
1998,New York Yankees,San Diego Padres,4-0
1997,Florida Marlins,Cleveland Indians,4-3
1996,New York Yankees,Atlanta Braves,4-2
1995,Atlanta Braves,Cleveland Indians,4-2
1993,Toronto Blue Jays,Philadelphia Phillies,4-2
1992,Toronto Blue Jays,Atlanta Braves,4-2
1991,Minnesota Twins,Atlanta Braves,4-3
1990,Cincinnati Reds,Oakland Athletics,4-0
1989,Oakland Athletics,San Francisco Giants,4-0
1988,Los Angeles Dodgers,Oakland Athletics,4-1
1987,Minnesota Twins,St. Louis Cardinals,4-3
1986,New York Mets,Boston Red Sox,4-3
1985,Kansas City Royals,St. Louis Cardinals,4-3
1984,Detroit Tigers,San Diego Padres,4-1
1983,Baltimore Orioles,Philadelphia Phillies,4-1
1982,St. Louis Cardinals,Milwaukee Brewers,4-3
1981,Los Angeles Dodgers,New York Yankees,4-2
1980,Philadelphia Phillies,Kansas City Royals,4-2
1979,Pittsburgh Pirates,Baltimore Orioles,4-3
1978,New York Yankees,Los Angeles Dodgers,4-2
1977,New York Yankees,Los Angeles Dodgers,4-2
1976,Cincinnati Reds,New York Yankees,4-0
1975,Cincinnati Reds,Boston Red Sox,4-3
1974,Oakland Athletics,Los Angeles Dodgers,4-1
1973,Oakland Athletics,New York Mets,4-3
1972,Oakland Athletics,Cincinnati Reds,4-3
1971,Pittsburgh Pirates,Baltimore Orioles,4-3
1970,Baltimore Orioles,Cincinnati Reds,4-1
1969,New York Mets,Baltimore Orioles,4-1
1968,Detroit Tigers,St. Louis Cardinals,4-3
1967,St. Louis Cardinals,Boston Red Sox,4-3
1966,Baltimore Orioles,Los Angeles Dodgers,4-0
1965,Los Angeles Dodgers,Minnesota Twins,4-3
1964,St. Louis Cardinals,New York Yankees,4-3
1963,Los Angeles Dodgers,New York Yankees,4-0
1962,New York Yankees,San Francisco Giants,4-3
1961,New York Yankees,Cincinnati Reds,4-1
1960,Pittsburgh Pirates,New York Yankees,4-3
1959,Los Angeles Dodgers,Chicago White Sox,4-2
1958,New York Yankees,Milwaukee Braves,4-3
1957,Milwaukee Braves,New York Yankees,4-3
1956,New York Yankees,Brooklyn Dodgers,4-3
1955,Brooklyn Dodgers,New York Yankees,4-3
1954,New York Giants,Cleveland Indians,4-0
1953,New York Yankees,Brooklyn Dodgers,4-2
1952,New York Yankees,Brooklyn Dodgers,4-3
1951,New York Yankees,New York Giants,4-2
1950,New York Yankees,Philadelphia Phillies,4-0
1949,New York Yankees,Brooklyn Dodgers,4-1
1948,Cleveland Indians,Boston Braves,4-2
1947,New York Yankees,Brooklyn Dodgers,4-3
1946,St. Louis Cardinals,Boston Red Sox,4-3
1945,Detroit Tigers,Chicago Cubs,4-3
1944,St. Louis Cardinals,St. Louis Browns,4-2
1943,New York Yankees,St. Louis Cardinals,4-1
1942,St. Louis Cardinals,New York Yankees,4-1
1941,New York Yankees,Brooklyn Dodgers,4-1
1940,Cincinnati Reds,Detroit Tigers,4-3
1939,New York Yankees,Cincinnati Reds,4-0
1938,New York Yankees,Chicago Cubs,4-0
1937,New York Yankees,New York Giants,4-1
1936,New York Yankees,New York Giants,4-2
1935,Detroit Tigers,Chicago Cubs,4-2
1934,St. Louis Cardinals,Detroit Tigers,4-3
1933,New York Giants,Washington Senators,4-1
1932,New York Yankees,Chicago Cubs,4-0
1931,St. Louis Cardinals,Philadelphia Athletics,4-3
1930,Philadelphia Athletics,St. Louis Cardinals,4-2
1929,Philadelphia Athletics,Chicago Cubs,4-1
1928,New York Yankees,St. Louis Cardinals,4-0
1927,New York Yankees,Pittsburgh Pirates,4-0
1926,St. Louis Cardinals,New York Yankees,4-3
1925,Pittsburgh Pirates,Washington Senators,4-3
1924,Washington Senators,New York Giants,4-3
1923,New York Yankees,New York Giants,4-2
1922,New York Giants,New York Yankees,4-0
1921,New York Giants,New York Yankees,5-3
1920,Cleveland Indians,Brooklyn Robins,5-2
1919,Cincinnati Reds,Chicago White Sox,5-3
1918,Boston Red Sox,Chicago Cubs,4-2
1917,Chicago White Sox,New York Giants,4-2
1916,Boston Red Sox,Brooklyn Robins,4-1
1915,Boston Red Sox,Philadelphia Phillies,4-1
1914,Boston Braves,Philadelphia Athletics,4-0
1913,Philadelphia Athletics,New York Giants,4-1
1912,Boston Red Sox,New York Giants,4-3
1911,Philadelphia Athletics,New York Giants,4-2
1910,Philadelphia Athletics,Chicago Cubs,4-1
1909,Pittsburgh Pirates,Detroit Tigers,4-3
1908,Chicago Cubs,Detroit Tigers,4-1
1907,Chicago Cubs,Detroit Tigers,4-0
1906,Chicago White Sox,Chicago Cubs,4-2
1905,New York Giants,Philadelphia Athletics,4-1
1903,Boston Americans,Pittsburgh Pirates,5-3
